1.823261 -1.146527
4.384694 1.85068
5.602087 1.329151
-2.005075 0.081978
2.08599 -0.496591
2.823624 0.528801
-0.04459 -2.031156
-5.042691 -1.194999
-4.389415 0.462655
-0.846105 -1.504882
-4.850395 2.61713
5.699318 1.319434
5.278664 2.713109
-4.4712 -0.672566
-0.720862 2.86468
-5.15967 -2.060415
0.47865 2.094539
-0.568481 -0.635774
-0.738333 1.211677
-5.112354 0.281275
4.430541 1.674521
-5.745047 -1.060719
1.271645 0.152205
0.041359 -0.838335
-0.529168 4.084096
-0.167019 -4.035233
5.518017 -1.908436
5.496588 1.07712
-0.212049 -4.316484
3.963433 -0.586412
-5.114764 0.91245
0.497041 4.235481
-2.237527 0.651932
-2.007952 1.771336
-4.814486 -1.197362
-0.722332 -1.596536
-2.56271 1.97841
3.065508 -2.394219
-4.704232 -0.119334
-2.229503 0.457802
